news_title,label
산업재해 자기규율 예방체계 구축…고용부 법령정비추진반 가동,0
"교통안전공단, ICT 기반 자동차검사소 스마트 안전관리 시스템 개발 추진",0
"고용부, '스마트 안전장비 보급·확산사업' 첫 시행…최대 3천만원 지원",0
"국토안전관리원 ""스마트 안전장비 지원 신청 받습니다""",0
"[종합] KCC건설 공사장서 또 근로자 사망…고용부, 중대재해법 조사 착수",0
세아베스틸 화상 근로자 치료 중 숨져…중대재해법 조사,0
"[단독]국토부, 건설현장 안전관리 규제 아닌 민간 자율 맡긴다",0
건설 현장별 ‘표준 안전디자인’ 개발한다,0
"‘2023 대한민국 지속가능화학위크’, 3월 22일 인천 송도에서 개최",0
"한은 ""산업용 로봇 늘린 만큼 산업재해 줄어""",0
"기업 40%, ""중대재해법 대비해 안전보건 투자 늘리겠다""",0
제빵공장 '20대 근로자 사망' 중대재해법 위반 SPL대표 검찰송치,0
"중대재해처벌법 시행 1년…“안전 전담 인력 둔 기업, 2배 이상 증가”",0
"중대재해법 시행 1년…부산기업, 안전 관련 인력·예산↑",0
중대재해처벌법 시행 1년...1월에도 58명이 퇴근하지 못했습니다,0
[단독] 법원이 법을 몰라서…중대재해법 재판 11건 중 7건 잘못 배당,0
빅데이터로 위험요인 분석…고위험사업장 8만개 선별·집중 관리,0
"""중대재해 즉시 알린다""…고용부, 기업 '오픈채팅방' 운영",0
"“안전보건 전문가 88%, 중대재해법상 처벌조항 과도하지 않아”",0
"중대재해법 1년만에 '솜방망이' 전락 우려…고용부, 징역·벌금 대신 과태료 검토",0
한국스마트안전보건협회 출범...고용부 설립 허가,0
"70대 하청 노동자, 덤프트럭 부딪혀 숨져…중대재해 조사",0
끼이고 떨어지고…보는 것 만으로도 “삶이 지옥 됐다”,0
지난해 중대재해 1위 건설업…제조업 사망사고 6.6% 증가,0
[뉴딥] '처벌 없이' 보낸 1년…중대재해법 운명은?,0
중대재해처벌법 시행 1년 만에 손질…자율예방 체계 중심으로,0
"건설 사고 절반은 장비…""검사 기준 높이고, 관리 대상은 좁혀야""",0
'계묘년' 건설업계 신년사 3대 키워드 '신성장·위기관리·안전',0
전문인력 부족·비용 부담… 대응능력 갖춘 기업 14%뿐 [중대재해법 기업 무방비],0
[중대재해법 1년] ②'타깃될라' 철강·중공업도 안전관리 총력전,0
‘한랭질환’ 산업재해 1월에 최다…동상·동창 주의,0
"[단독] ‘중대재해법 보완’ 재계 호소에…尹“결함 많은 법, 최대한 기업 편의를” 화답",0
건설현장에서 안전사고 사망자가 끊이질 않는 이유,0
'산재 1위' 건설 사업장 38만곳인데…근로감독관 1명이 2500곳 담당,0
"[포커스온] 중대재해처벌법 1년, 우리의 산업 안전은?",0
조선소 내 끼임 사고로 인한 사망사고…“중대산업재해 해당”,0
"중대재해, 처벌 대신 '자기규율'로 줄인다…로드맵 발표",0
정부 중대재해 감축 로드맵 발표 임박… 처벌에서 투자 촉진으로,0
[친절한 뉴스K] 반복되는 중대재해…예방책은?,0
10월 중대재해 44건 발생...중대재해법 예외 소기업이 59% 차지,0
"[산재 그만]⑥중대재해법, 수사·처벌에만 방점…산업별 특성 고려 필요",0
"“중대재해 줄이기 위한 사업주 자율 규제, 법 준수로 인정해야”",0
"(반복되는 건설사고)처벌 중심 중대재해법 문제…""충분한 공사기간 제공해야""",0
[산재 그만] ②OECD 수준 사고 감축…수술대 오르는 중대재해법,0
현대아울렛 화재 참사 ‘유통업계 중대재해법 1호’ 적용…오너 일가 입건 피해,0
"하청 근로자 사망, 원청 대표이사 중대재해 첫 기소",0
"[단독] “50인 미만 빼자”…기재부, 중대재해법 ‘적용유예 연장’ 시도",0
유통가 잇따른 ISO 인증 획득…ESG 경영 강화,0
식품제조업체 등 ‘안전불감증’…무관용 ‘불시감독’,0
"""근로자 관점으로 현장 안전 관리 실태 파악해야""",0
노동자 ‘안전’ 미흡 이유로 줄파업… 동시다발 셧다운 위기,0
"""안전보건 자료 쉽고 빠르게 찾아보세요""…목록집 발간",0
대형유통업체 10곳중 4곳 화재·산재 안전불감증,0
중대재해 10건 중 1건은 공공부문서 발생…비정규직·하청 집중,0
"증가하는 건설업 산재 사망자수…정부, 중대재해 감축 위해 나선다",0
[단독] ‘안전 투자 얼마나 했나’ 공시 검토…중대재해 줄일까?,0
올해 산업재해로 노동자 510명 숨져… 코레일은 올 4번째 사망사고 발생,0
"산업재해, 위기의 대한민국",0
화학물질 제조업체 10곳 중 한 곳은 누출로 인한 산업·시민재해 유발 위험,0
중대재해 감축 로드맵' 11월말로 연기…어떤 내용 들어가길래,0
[단독] ‘중대재해법 시행 9개월’ 올해 사망 노동자 206명…작년 추월,0
"중대재해법 9개월… 하루 1.8명꼴 사망, 줄지가 않는다",0
"""중대재해 줄이려면 '안전문화' 구축해야…처벌만으론 부작용""",0
"식품·유통업계, 연이은 사고에… ‘중대재해법’ 적용 여부 촉각",0
"“중대재해법, 법 모호·과잉 처벌” 헌재로",0
중대재해처벌법 첫 ‘위헌심판’ 신청…노동계 “무력화 중단해야”,0
추락·끼임 사망사고에도 산업현장 안전불감증 ‘심각’,0
[2022 국감] 중대재해법 시행에도 건설현장 안전사고 여전…국토부는 “현장조사 강화”,0
"대기업 10곳, 2년8개월간 안전보건 교육 미실시로 과태료 8억원",0
5년간 제조업 산재사망 1천17명…70%가 50인미만 업체서 발생,0
상반기 건설사고 사망 222명… 전체 산업계 ‘절반’,0
‘끼임 사고 사망’ 매년 100명… 시설 안전규정조차 없다,0
최근 10년간 산단 중대사고 283건…중소기업이 대기업의 1.7배,0
"‘10월은 산재의 달’…사망만 356명, 가장 많은 이유는?",0
올해 산업재해 민원 벌써 7423건…3년 전보다 3배 이상 급증,0
"대형 건설사, 큰 공사장에서만 안전수칙 준수?...산재는 증가",0
[단독] 작년 산재 은폐 적발 918건으로 4년래 최다,0
중대재해법 시행 후에도 446명 사망…법 유예 사업장서 281명 숨져,0
"한해 과로사 600명 중 산재 인정은 40% 불과…""보장성 강화해야""",0
16년치 사망자 분석 '하청이 원청 2배',0
"중소기업계 ""중대재해법 부담돼…전문인력 등 지원 절실""",0
최근 5년간 중대재해 3476건...22%는 작업중지 명령 없었다,0
"고용부, 첫 산안 감독협의회 개최 ""산재, 5년 내 OECD 평균수준으로""",0
중대재해법 손보는 노동부 “기업 자율·책임으로 패러다임 전환”,0
12월부터 건설현장 소방안전관리자 선임 의무화…안전 전문인력 확보 또 난항,0
"명절 직후 산재 사망사고 증가... 정부, 고위험사업장'안전 당부'",0
시행령으로 중대재해처벌법 완화?…올 상반기 재해 사망자만 1142명,0
‘시행 8개월’ 중대재해처벌법 짚어보니…처벌 아닌 예방 집중해야,0
중대재해법 시행 7개월여만 시행령 개정 수순…무엇이 바뀌나,0
중대재해법 CEO 의무범위 명확히…10개 법령 준수 땐 처벌 면제 가능,0
중대재해처벌법 개정 방향 의견 충돌,0
"[중대법 손질, 안하나 못하나] 제조업ㆍ기타업종 사망사고는 오히려 늘어나",0
최근 5년간 추석 전후 하루 2.27명 산재사망…평소보다 20%↑,0
"철강업계, 일손 부족에 ‘울상’…”잔업은 옛말”",0
중대재해법 처벌에 과징금제 도입될까,0
"산재 막는 안전지킴이, 최저임금에 ‘줄퇴사’",0
"[이슈분석] 중대재해처벌법 시행 7개월, 효과 있었나?",0
"노동·시민사회 ""중대재해법 시행 7개월...산재 사고 여전""",0
"[중대재해처벌법, 그것이 알고싶다] 소규모 현장에서 발생한 중대산업재해는 누가ㆍ언제부터 부담할까",0
디지털 기술로 신속 실내긴급구조 체계 구축한다,0
